"","soc_uni","soc","occupation","id","new_descript","word","definition"
"463","33-3012","33-3012.00","Correctional Officers and Jailers","15253","Make sure inmates are behaving and following rules. Watch them in all settings. Make sure there are no escapes or violence.",NA,NA
"464","33-3012","33-3012.00","Correctional Officers and Jailers"," 2113","Give inmates tasks to do. Show them how to do tasks, if needed.",NA,NA
"465","33-3012","33-3012.00","Correctional Officers and Jailers"," 2104","Check mail for items that are not allowed.",NA,NA
"466","33-9011","33-9011.00","Animal Control Workers"," 7963","Care for animals. Give them food and water.",NA,NA
"467","33-9011","33-9011.00","Animal Control Workers"," 7964","Clean dog pens and animal control trucks. Clean places where animals are kept.",NA,NA
"468","33-9011","33-9011.00","Animal Control Workers"," 7966","Teach the public about animal control laws and rules. Teach the public how to care for animals.",NA,NA
"469","33-9032","33-9032.00","Security Guards"," 2133","Keep track of people coming and going from a site. Guard against theft. Make sure the area is safe and protected.",NA,NA
"470","33-9032","33-9032.00","Security Guards"," 2134","Write daily reports about problems that happen on site. Note any damage or theft that takes place. Note any people or events that are unusual.","unusual","Not normal."
"471","33-9032","33-9032.00","Security Guards"," 2141","Check security systems, equipment, and machines. Make sure they are working right. Make sure no one tries to stop them from working.",NA,NA
"472","33-9091","33-9091.00","Crossing Guards","11118","Guide traffic and people. Make sure everyone can cross traffic safely. Work at road and railroad crossings, schools, and building sites.",NA,NA
"473","33-9091","33-9091.00","Crossing Guards","11122","Direct traffic using hands, signs, and lights. Warn about risks and guide traffic safely past them.",NA,NA
"474","33-9091","33-9091.00","Crossing Guards","11124","Stop drivers who are speeding. Warn them about traffic laws.",NA,NA
"475","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","recreation","A fun pastime."
"476","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"477","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","20129","Make sure the quality of pool water is correct. Test the level of chemicals.",NA,NA
"478","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5049","Watch how people are acting and make sure they stay safe. Use binoculars. Check for risks, problems, and rule breaking.","binoculars","Equipment you look through to make far-away objects look closer and bigger."
"479","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","18715","Help clean kitchen and dining places. Watch other workers to make sure they clean up those places.",NA,NA
"480","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2154","Tell workers how much food to prepare and serve, in what order and when. Plan how to set up workstations and equipment.",NA,NA
"481","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2156","Greet and seat guests. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"482","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9492","Keep track of food use. Gather and update records.",NA,NA
"483","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9490","Keep track of government food supplies. Make sure they are used the right way and that rules are followed.",NA,NA
"484","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9497","Check menus and spending to make sure costs stay low.","menu","A listing of foods served."
"485","35-2014","35-2014.00","Cooks, Restaurant"," 2169","Turn or stir foods so they cook in an even way.",NA,NA
"486","35-2014","35-2014.00","Cooks, Restaurant"," 2170","Cook and flavor food with salt, pepper, herbs, and more. Follow recipes and make choices based on your learning and know-how.","recipe","Instructions that tell you how to make a meal."
"487","35-2014","35-2014.00","Cooks, Restaurant"," 2173","Arrange food on plates so that it looks good. Make sure the right amount is served. Give plates to waiters or diners.","arrange","Put something in order; fit together."
"488","35-3011","35-3011.00","Bartenders"," 2223","Collect money owed for drinks.",NA,NA
"489","35-3011","35-3011.00","Bartenders"," 2228","Take drink orders from serving staff or customers.",NA,NA
"490","35-3011","35-3011.00","Bartenders"," 2229","Serve wine and beer.",NA,NA
"491","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9515","Make sure cleaners do their tasks well. Help clean, if needed.",NA,NA
"492","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9512","Explain how to stop the spread of germs in places like hospitals. Make sure those steps are followed.","germ","A tiny living thing that spreads illness."
"493","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","valet","Parking."
"494","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","services","Helpful acts, things that are done for other people."
"495","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9540","Clean floors. Sweep, mop, wash, or vacuum.",NA,NA
"496","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9541","Use chemical cleaners and power equipment. Follow rules to make sure nothing gets damaged.",NA,NA
"497","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9542","Mix water with soap or acid to make cleansers. Mix them in containers. Follow guidelines.","cleanser","Something that cleans, like soap."
"498","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9561","Clean rooms, hallways, stairways, and other work areas. Make sure health standards are met.",NA,NA
"499","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9563","Refill supplies in guest rooms. Those include drinking glasses, sheets, bathroom items, and more.","refill","To fill again."
"500","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9566","Sweep, scrub, wax, or polish floors. Use brooms, mops, or scrubbing and waxing machines.",NA,NA
"501","37-2021","37-2021.00","Pest Control Workers"," 7974","Keep a record of what work tasks have been done.",NA,NA
"502","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"503","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","prevent","To keep from happening."
"504","37-2021","37-2021.00","Pest Control Workers"," 7979","Drive a truck that has equipment for power spraying.",NA,NA
"505","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11227","Fill sprayer tanks with water and chemicals. Follow guidelines to get the right mix.",NA,NA
"506","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"507","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","nozzle","The spout or opening through which something sprays."
"508","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11233","Clean or fix equipment so it works well. Use water, gas, oil, grease, or hand tools.",NA,NA
"509","37-3013","37-3013.00","Tree Trimmers and Pruners","13115","Clean, sharpen, and oil tools and equipment.",NA,NA
"510","37-3013","37-3013.00","Tree Trimmers and Pruners","13118","Trim, cut down, feed, and spray trees. Follow the orders of a tree surgeon.","tree surgeon","A person who treats damaged or diseased trees."
"511","37-3013","37-3013.00","Tree Trimmers and Pruners","13120","Run shredding and chipping machines. Feed branches and other wood into the machines.","shredding and chipping","Tearing or cutting into small pieces."
"512","39-1011","39-1011.00","Gaming Supervisors"," 4412","Watch over gaming areas. Make sure house rules are followed. Make sure tribal, state, and national laws are followed. Make sure workers do their jobs well.",NA,NA
"513","39-1011","39-1011.00","Gaming Supervisors"," 4413","Make sure gamblers do not cheat. Make sure no one marks, switches, or counts cards. Alert security staff to any cheating.",NA,NA
"514","39-1011","39-1011.00","Gaming Supervisors"," 4418","Make and run banks and table limits for each game.",NA,NA
"515","39-1012","39-1012.00","Slot Supervisors"," 4435","Respond to and solve players’ complaints.","complaint","Reason someone is not happy or pleased."
"516","39-1012","39-1012.00","Slot Supervisors"," 4437","Reset slot machines after they have paid out winnings.",NA,NA
"517","39-1012","39-1012.00","Slot Supervisors"," 4436","Walk through certain parts of the gaming floor. Make sure players are following rules. Make sure machines are working well.",NA,NA
